,band,species,blength,bdepth
0,2,fortis,9.4,8
1,9,fortis,9.2,8.3
2,12,fortis,9.5,7.5
3,15,fortis,9.5,8
4,305,fortis,11.5,9.9
5,307,fortis,11.1,8.6
6,308,fortis,9.9,8.4
7,309,fortis,11.5,9.8
8,311,fortis,10.8,9.2
9,312,fortis,11.3,9
10,313,fortis,11.5,9.5
11,314,fortis,11.5,8.9
12,315,fortis,9.7,8.8
13,316,fortis,10.9,9.7
14,316,fortis,10.9,9.85
15,320,fortis,10.1,8.9
16,321,fortis,10.6,8.5
17,323,fortis,9.6,8.2
18,324,fortis,10.3,9.3
19,326,fortis,10.5,9.1
20,328,fortis,10.5,8.8
21,329,fortis,10.9,9.4
22,330,fortis,11.2,9.6
23,340,fortis,9.4,8.5
24,341,fortis,10.1,8.1
25,342,fortis,9.6,8
26,343,fortis,10.5,9.7
27,344,fortis,9.9,8.2
28,345,fortis,9.9,8.4
29,346,fortis,9.6,7.9
30,347,fortis,10.7,9.3
31,348,fortis,11.8,10.5
32,349,fortis,10.2,9.7
33,350,fortis,10.9,9.6
34,352,fortis,9.3,7.7
35,354,fortis,11.6,9.8
36,355,fortis,11.2,9.8
37,356,fortis,10.1,8.5
38,360,fortis,10.7,9.2
39,366,fortis,11,10.1
40,368,fortis,10.8,9
41,369,fortis,10.2,9
42,401,fortis,10.8,9.4
43,402,fortis,10.4,8.8
44,403,fortis,11.2,9.9
45,405,fortis,11.4,9.9
46,410,fortis,10.9,8.9
47,411,fortis,10.4,9.4
48,413,fortis,9.7,8.2
49,414,fortis,10.2,8.2
50,415,fortis,9.2,8.1
51,416,fortis,10.1,8.4
52,417,fortis,11,10.1
53,418,fortis,10.3,8.6
54,419,fortis,10.2,8.5
55,420,fortis,11,9.7
56,422,fortis,11,10.3
57,423,fortis,10.1,8.6
58,424,fortis,10.7,9.3
59,425,fortis,10.7,8.9
60,426,fortis,11,9.7
61,427,fortis,12,10.2
62,428,fortis,11.6,10.2
63,450,fortis,9.9,8.5
64,451,fortis,10.8,8.8
65,452,fortis,10.5,8.9
66,453,fortis,10,8.7
67,454,fortis,9.6,9.3
68,455,fortis,11,9.7
69,456,fortis,10.2,9.6
70,457,fortis,9.7,7.85
71,458,fortis,11.1,9.6
72,459,fortis,10.4,9.3
73,461,fortis,11.1,9.8
74,462,fortis,10.2,8.8
75,463,fortis,10.3,9.1
76,465,fortis,9.9,9
77,466,fortis,11,10.4
78,468,fortis,10.8,9
79,473,fortis,10.5,9.5
80,474,fortis,10.5,8.7
81,475,fortis,11.2,9.6
82,476,fortis,11.2,9.4
83,477,fortis,11.7,9.5
84,479,fortis,10.5,8.6
85,501,fortis,10.5,9.9
86,502,fortis,11.2,9.4
87,503,fortis,10,9.1
88,504,fortis,10.4,8.6
89,505,fortis,10.8,9.3
90,506,fortis,11.1,9.2
91,507,fortis,10.3,8.8
92,509,fortis,11.1,9.2
93,510,fortis,9.8,8.3
94,511,fortis,10.5,8.8
95,512,fortis,11,9.4
96,513,fortis,11.2,10.4
97,514,fortis,9.8,8.5
98,515,fortis,9.8,7.9
99,516,fortis,9.8,7.9
100,517,fortis,10.3,10.1
101,518,fortis,11.3,9.8
102,519,fortis,10,8.3
103,520,fortis,11.1,9.4
104,521,fortis,10,9
105,522,fortis,10.3,8.4
106,524,fortis,10.2,8.7
107,526,fortis,10.4,9.2
108,527,fortis,11,9.5
109,528,fortis,11.5,10.1
110,529,fortis,11.8,9.8
111,560,fortis,10.2,8.5
112,561,fortis,11.7,10.2
113,563,fortis,10.1,8.6
114,564,fortis,10.2,9.3
115,565,fortis,9.8,8.7
116,566,fortis,10.6,8.9
117,567,fortis,10,8.4
118,572,fortis,12.1,10.3
119,574,fortis,11.1,9.9
120,576,fortis,10.5,8.9
121,578,fortis,10,9.1
122,579,fortis,10.2,8.6
123,601,fortis,9.7,7.8
124,602,fortis,10,8.6
125,603,fortis,10.7,9.5
126,604,fortis,11,9.5
127,605,fortis,10.9,10.2
128,606,fortis,10.5,9.1
129,607,fortis,10.9,9.7
130,608,fortis,10.7,9.4
131,609,fortis,11.9,10.5
132,610,fortis,10.2,9
133,611,fortis,10.5,9.8
134,615,fortis,11.2,10
135,616,fortis,10.7,9.6
136,617,fortis,10.3,9.6
137,618,fortis,11.6,9.9
138,619,fortis,10.5,9.3
139,620,fortis,10.9,9.6
140,621,fortis,9.8,7.6
141,622,fortis,10.9,9.2
142,623,fortis,10.3,8.8
143,624,fortis,11.7,10.1
144,625,fortis,11,8.9
145,626,fortis,9.8,9.5
146,627,fortis,10.4,8.2
147,628,fortis,10.8,9.7
148,629,fortis,11,9.8
149,670,fortis,10.6,9.3
150,671,fortis,11.3,9.8
151,672,fortis,10.1,8.8
152,673,fortis,11.4,10.1
153,674,fortis,11.8,10.5
154,675,fortis,9.9,8.6
155,676,fortis,11,9.7
156,677,fortis,10.8,10
157,678,fortis,11.3,9.7
158,679,fortis,11.1,10.5
159,680,fortis,11,10.4
160,681,fortis,10.4,9.2
161,682,fortis,9.1,8.1
162,683,fortis,10.8,9.4
163,684,fortis,10.6,8.9
164,685,fortis,8.7,8.2
165,686,fortis,10.7,9.3
166,687,fortis,10.3,8.6
167,688,fortis,10.5,9
168,689,fortis,9.1,7.6
169,701,fortis,9.5,8.7
170,702,fortis,10.8,9.8
171,703,fortis,10.6,9.4
